回合结果，回合1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
"损益表, 千 USD, 全球",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
,,,,,,,,,,
税前利润,-93623.29257507258,145815.0293487948,138318.74859852574,141159.11504934743,39824.27768648993,72195.38951158112,169531.34692249142,28238.468339854488,39425.3533809876,188360.6549731074
所得税,0,21872.25440231922,20747.81228977886,21173.867257402115,5973.641652973489,10829.308426737167,25429.70203837371,4235.770250978173,5913.80300714814,28254.098245966106
,,,,,,,,,,
本回合利润,-93623.29257507258,123942.77494647559,117570.93630874688,119985.24779194531,33850.636033516435,61366.08108484395,144101.6448841177,24002.698088876314,33511.55037383946,160106.5567271413
,,,,,,,,,,
"资产负债表, 千 USD, 亚洲",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
资产,,,,,,,,,,
固定资产,0,0,0,0,0,0,0,0,0,0
应收账款,23205.163506981233,22692.614985806336,33050.39541739405,15857.615206648938,17262.71773708211,34134.41710705671,27215.25865317514,17027.127082171653,22603.781966213362,17743.326359622635
现金及等价物,419729.48010967264,67680.06064361558,1350064.805722843,156861.51116712007,225237.46806492071,75751.8021747014,150605.54223500568,55719.91184839869,2000,2000
总资产,442934.64361665386,90372.67562942192,1383115.201140237,172719.12637376902,242500.18580200282,109886.21928175811,177820.80088818082,72747.03893057034,24603.781966213362,19743.326359622635
,,,,,,,,,,
股东权益,,,,,,,,,,
股本,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
本回合利润,-93623.29257507258,123942.77494647559,117570.93630874688,119985.24779194531,33850.636033516435,61366.08108484395,144101.6448841177,24002.698088876314,33511.55037383946,160106.5567271413
留存收益,51115.23202150239,22758.378829057037,57081.84550924335,51173.95931253055,57081.84550924335,0.16157516548921164,30189.835066958574,51209.116406427245,24.63127976055575,45180.9460689227
权益合计,-22508.060553570198,166701.1537755326,194652.7818179902,191159.20710447585,110932.48154275978,81366.24266000945,194291.47995107627,95211.81449530355,53536.18165360002,225287.50279606399
,,,,,,,,,,
股东负债,,,,,,,,,,
短期贷款（无计划）,0,0,0,0,0,0,0,0,54045.220826640056,69817.44239418024
内部贷款,455000,-85000,1175000,-25000,125000,15000,-25000,-25000,-93000,-285000
应付账款,10442.704170224095,8671.521853889304,13462.419322246938,6559.919269293175,6567.70425924304,13519.976621748658,8529.320937104547,2535.2244352667863,10022.379485973299,9638.381169378421
负债合计,465442.7041702241,-76328.47814611069,1188462.419322247,-18440.080730706824,131567.70425924304,28519.976621748658,-16470.679062895455,-22464.775564733212,-28932.399687386645,-205544.17643644137
,,,,,,,,,,
股东权益和负债总计,442934.64361665386,90372.67562942192,1383115.201140237,172719.12637376902,242500.18580200282,109886.21928175811,177820.80088818082,72747.03893057034,24603.781966213373,19743.326359622617
,,,,,,,,,,
"现金流量表, 千 USD, 亚洲",,,,,,,,,,
,,,,,,,,,,
,万物生长ING,津门创赋奇谭,虚怀若谷,Hades,从容应队,高雅人士队,PHY柿柿如意,“烽”狂输出队,决策全都队,星河万里
来自经营活动的现金,,,,,,,,,,
息税折旧及摊销前利润(EBITDA),-103906.13971955376,143453.2941422999,107103.35662774823,136790.7972060737,33917.50081301568,69652.04012063681,165303.78838019026,26145.836481251987,42935.46932150971,192694.14515122026
应收账变化(增 - / 减 +),-6046.521531672588,-5533.973010497692,-15891.753442085406,1301.0267686597072,-104.07576177346346,-16975.775131748065,-10056.616677866496,131.5148931369913,-5445.139990904718,-584.6843843139904
库存变化(增 - / 减 +),0,0,0,0,0,0,0,0,0,0
应付账变化(增 + / 减 -),8079.959170224095,6308.776853889304,11099.674322246938,4197.174269293175,4204.95925924304,11157.231621748659,6166.575937104547,172.47943526678637,7659.634485973299,7275.636169378421
净融资费用（支出-，收入+）,10282.847144481166,2361.735206494881,31215.3919707775,4368.317843273732,5906.776873474247,2543.3493909443123,4227.558542301158,2092.631858602501,-3510.115940522103,-4333.490178112864
所得税,0,-21872.25440231922,-20747.81228977886,-21173.867257402115,-5973.641652973489,-10829.308426737167,-25429.70203837371,-4235.770250978173,-5913.80300714814,-28254.098245966106
总计,-91589.8549365211,124717.57878986721,112778.8571889084,125483.44882989819,37951.519530986014,55547.537574844544,140211.60414335577,24306.69241728009,35726.044868908044,166797.5085122057
,,,,,,,,,,
投资活动产生的现金,,,,,,,,,,
工厂投资,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,
融资前现金流量,-91589.8549365211,124717.57878986721,112778.8571889084,125483.44882989819,37951.519530986014,55547.537574844544,140211.60414335577,24306.69241728009,35726.044868908044,166797.5085122057
,,,,,,,,,,
融资活动产生的现金,,,,,,,,,,
支付给母公司的股息,-5966.613487740964,-34323.46668018631,0,-5907.886196712803,0,-57081.68393407786,-26892.010442284776,-5872.729102816105,-57057.21422948279,-11900.899440320653
短期贷款变化(增加 + / 减少 -),0,0,0,0,0,0,0,0,54045.220826640056,69817.44239418024
内部贷款变化,480000,-60000,1200000,0,150000,40000,0,0,-68000,-260000
总计,474033.386512259,-94323.4666801863,1200000,-5907.886196712803,150000,-17081.68393407786,-26892.010442284776,-5872.729102816105,-71011.99340284274,-202083.45704614042
,,,,,,,,,,
现金及等价物变化,382443.5315757379,30394.112109680907,1312778.8571889084,119575.56263318539,187951.51953098603,38465.85364076668,113319.59370107099,18433.963314463985,-35285.948533934694,-35285.948533934716
现金 1.1.,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694,37285.948533934694
现金 31.12.,419729.48010967264,67680.06064361558,1350064.805722843,156861.51116712007,225237.46806492071,75751.8021747014,150605.54223500568,55719.91184839869,2000,2000
,,,,,,,,,,
